유형,한글명칭,설명,내용
사건,홍산대첩,1376년(우왕 2) 7월 최영이 지금 부여에 해당하는 홍산에서 왜구에 맞서 크게 이긴 전투.,"개태사 소식을 들은 최영은 “신의 몸은 비록 늙었으나 뜻은 쇠하지 않았습니다. 단지 사직을 편안하게 하고 경성을 지키고자 할 따름이니, 청하건대 휘하의 군사를 거느리고 빨리 가서 그들을 치기를 바랍니다.”라고 말하며 왜구를 칠 것을 자청하였다. 우왕과 여러 장수들은 최영이 나이가 많다는 이유로 이를 만류하였다. 이때 그의 나이가 당시 61세였기 때문이다. 하지만 최영은 끝까지 뜻을 굽히지 않고 거듭 청하였다. 그는 자신이 지금 출정해야 하는 이유를 다음과 같은 세 가지로 설득하였다. 첫째, 지금의 때를 잃고 제어하지 않는다면 이후에는 도모하기 어렵다. 둘째, 다른 사람이 장수가 된다면 승리를 장담할 수 없다. 셋째, 군사들이 평소에 훈련되지 않아 쓸 수 없다. 우왕이 이 뜻을 꺾지 못하고 출정을 허락하자 최영은 잠도 자지 않고 그 길로 바로 양광도로 떠났다. 당시 왜구는 노약자를 배에 태우고 장차 돌아가려는 것처럼 내보이면서 몰래 정예 수백명을 보내 곳곳에서 노략질을 자행하고 있었다. 아무도 대적하는 사람이 없었기 때문에 홍산에 이른 왜구들의 기세는 한껏 극에 달해 있는 상태였다. 이때 최영이 양광도도순문사 최공철, 조전원수 강영, 병마사 박수년 등과 함께 홍산에 다다랐다. 그들의 전장이 되었던 곳은 3면이 모두 절벽이고 오지 길 하나만 통할 수 있는 험하고 좁은 지형이었다. 여러 장수들이 겁을 내어 나아가지 못하였는데, 최영이 용맹하게 선두로 돌진하여 공격하기 시작하였다. 숲속에 숨어있던 적이 쏜 화살이 최영의 입술에 맞아 피가 철철 흐르는데도 최영은 당황하지 않고 적을 쏘아 맞춘 이후에야 화살을 뽑았다고 한다. 그렇게 최영을 중심으로 한 고려군은 더욱 치열하게 싸워 적을 크게 패배시키고 거의 섬멸하였다. 그야말로 고려군의 통쾌한 승리였다."
사건,홍산대첩,1376년(우왕 2) 7월 최영이 지금 부여에 해당하는 홍산에서 왜구에 맞서 크게 이긴 전투.,"승전 소식을 알리자 우왕은 크게 기뻐하며 최영에게 옷, 술, 안마를 하사하여 포상하고 의원을 보내 약을 가지고 가서 치료하게 하였다. 그리고 8월에 개경으로 개선하는 최영을 성대한 예로 맞이하였다. 이때의 예식이 마치 황제의 조서를 가지고 오는 중국 사신을 맞이하는 예와 같았다고 하니 당시 고려 조정에서 얼마나 이 승리를 반기고 높이 평가하였는지 짐작할 만하다. 이 전공은 그 자체로도 대단한 것이었지만 고려 조정에서 심리적으로 더욱 크게 받아들일 수밖에 없는 이유가 있었다. 홍산에서 전투가 있었을 그 무렵, 개경에는 왜구가 장차 도성을 침범할 것이라든지, 적의 장수가 이미 송악산에 올랐다더라는 소문이 돌아 분위기가 몹시 흉흉하게 돌아가고 있었다. 한밤중에 방리군을 징발하여 성을 지키게 하고, 또 승군을 징발하여 요해처를 지키게 하였으니 개경은 비상사태에 돌입하여 긴장감이 최고조에 달하였을 것이다. 이렇게 동요하며 술렁이던 민심에 최영이 가져다 준 빛나는 승전보가 얼마나 큰 위안이 되었겠는가? 9월에 홍산에서의 전공을 논하여 최영을 시중에 제수하려고 하였는데 최영이 말하기를, “시중이 되면 가벼이 지방으로 나갈 수 없으니, 왜구가 평정된 이후에 받겠습니다.”라며 굳게 거절하였다. 이에 그를 철원부원군으로 봉하고 나머지 군사들도 차등있게 포상하였다."
사건,홍산대첩,1376년(우왕 2) 7월 최영이 지금 부여에 해당하는 홍산에서 왜구에 맞서 크게 이긴 전투.,"“두려워할 자는 오직 백발의 최 만호뿐이다. 지난날 홍산의 전투에서 최 만호가 이르면 휘하의 병졸들이 앞을 다투어 말을 달려 우리 무리들을 차고 짓밟았은즉, 매우 두려워할 만하다.” 홍산에서 최영이 보여준 백발 노장의 용맹무쌍한 모습은 왜구들에게 꽤 깊은 인상을 남겼던 듯하다. 홍산대첩이 일어났던 다음 해에 고려를 침략한 왜구들이 했던 말이다. 왜구들의 기억에 최영이 공포의 대상으로 자리 잡을 정도로 홍산에서의 활약이 대단했던 것이다. 그런데 홍산대첩의 명성에 비하여 전투의 구체적인 규모는 알기가 어렵다. 우왕이 개선한 최영에게 적의 규모를 묻자, 최영이 많지 않았다고 대답하며, 적이 만약 많았다면 자신이 살아 돌아오지 못하였을 것이라고 말하였다. 단순히 최영이 겸양의 뜻으로 답변한 것인지 알 수 없으나 소위 ‘대첩’으로 불리는 진포대첩이나 황산대첩 등 다른 전투에 비하여 『고려사』나 『고려사절요』에 당시 양측 병력 규모나 고려군이 거둔 전과에 대한 묘사가 자세하게 남아있지 않다. 다만 분명한 것은 최영이 홍산대첩에서 거둔 승리는 당시 고려가 겪고 있던 급박한 군사적 위기 상황을 타개하여 주는 중요한 전적이었다는 점이다. 특히 금강 유역을 비롯한 양광도 일대의 왜구 세력은 일시적이나마 위축되는 모습을 보인다. 이후 1379년(우왕 5)에 우왕은 홍산에서 최영이 왜적의 진을 격파하던 모습을 그린 그림을 그리게 하여 그 공로를 영원히 전하게 하였다. 그리고 이색에게 이에 대한 찬을 짓도록 하였는데, 그 글이 『동문선』과 이색의 문집인 『목은집』에 남아있다. 현재 홍산의 전투 장소로 비정되는 장소는 충청남도 부여군 홍산면 북촌리에 있는 태봉산성이며 산성 내부에 조성되어 있는 태봉산 체육공원에 홍산대첩비가 세워져 있다. 한편 최근에는 홍산 전투의 전장이 태봉산이 아니라 비홍산일 가능성이 제기되기도 하였다."
사건,신사무옥,기묘사화 이후 심정·남곤 등이 사림들을 일망타진하기 위해 1521년(중종 16) 일으킨 무옥이다.,"송사련(1496~1575)은 안처겸의 고종사촌이었지만, 어머니가 서얼 출신으로 신분이 미천하였다. 그가 왜 사촌을 역모로 내몰았는지는 다음의 이유가 거론된다. 『선조실록』의 사관은 송사련이 남곤과 심정의 사주를 받았다고 서술하였고, 『대동야승』에서는 남곤과 심정에게 아부하여 상을 받아내려는 의도였다고 기술했다. 한편, 송사련은 안처겸의 역모를 고한 이후 출세가도를 달렸다. 중종부터 선조 까지 네 임금을 섬기며 관직생활을 하다가 세상을 떠났다. 더욱이 아들 송익필, 송한필은 학문적으로 명망이 높았다. 이이가 함께 성리학을 논할 만한 사람으로 이들 형제를 꼽을 정도였고, 성혼도 아끼고 존경하는 벗[외우]으로 대우하였다. 그러나 결국 아들들은 아버지의 무고로 인해 관작이 삭탈되어 반노가 되었다."
사건,황산대첩,"1380년 9월, 이성계 등이 전라도 지리산 부근의 황산에서 왜구를 크게 격퇴시킨 전투이다. 이를 계기로 왜구의 세력이 크게 약화되었다.","황산대첩은 1380년(우왕 6) 9월에 이성계를 중심으로 한 고려군이 황산에서 왜구를 크게 격퇴한 전투이다. 이 전투로 인하여 오랜 시간 고려를 괴롭히던 왜구의 기세가 현저하게 약화되었고, 이성계는 국가의 영웅으로 떠올랐다."
사건,황산대첩,"1380년 9월, 이성계 등이 전라도 지리산 부근의 황산에서 왜구를 크게 격퇴시킨 전투이다. 이를 계기로 왜구의 세력이 크게 약화되었다.","우왕대 고려는 지긋지긋한 왜구의 침략으로 몸살을 앓고 있었다. 1380년(우왕 6) 8월, 대규모의 왜선이 진포에 정박하고 이를 거점으로 하여 왜구들이 고려 백성들을 노략질하고 있다는 소식이 조정에 또 전해졌다. 이에 고려 조정에서는 심덕부, 나세, 최무선을 진포로 급파하였고, 이들은 그동안 화통도감에서 최무선을 중심으로 개발해 온 화포를 이용하여 왜구를 상대로 대승을 거두었다. 이것이 바로 진포대첩이다. 이 전투에서 고려 수군의 함포는 왜구의 함선을 거의 다 불태워 버렸다. 바다에서 퇴각로가 막히자, 살아남은 왜구들은 악에 받쳐 포로들을 무참히 살해하고 몸을 돌려 내륙으로 들어갔다. 그들이 향한 곳은 옥주였는데 이곳에서 이미 내륙에 침투해 있던 왜구 무리와 합세하게 된다. 일본학계에서 왜구의 실체가 일본인이 아닐 가능성을 제기할 정도로 이때 왜구는 고려 내륙 깊숙한 곳에서 활동하고 있었다. 진포의 달콤한 승리도 잠시. 고려 백성들의 악몽이 시작되고 있었다. 상당한 규모로 결집된 왜구들은 충청북도 일대를 거쳐 경상북도 쪽으로 이동하며 마침내 상주에 다다랐다. 왜구들이 거쳐 간 고을마다 초토화되었고 길은 피바다를 이루었으니, 당시 무고한 백성들이 입은 피해는 처참하기 그지없었다. 상주에서 이들은 2~3살 정도는 되는 어린 여자아이를 붙잡아다가 머리를 깎고 배를 갈라 깨끗이 씻기고는 쌀과 술을 함께 차려놓고 하늘에 제사를 지냈다. 그런데 제사를 지내고 여자아이를 불태우자 창자루가 갑자기 부러졌다. 이 기이한 현상을 반드시 패배할 징조라고 생각한 그들은 이곳을 떠나 남쪽으로 내려가기 시작하였다. 이후 왜구는 선주와 경산부를 도륙하고 경상남도의 사근내역에 주둔하였다. 이곳에서 고려는 또다시 쓴 패배를 맛본다. 이 사건이 이른바 사근내역 전투이다. 왜구의 침략이 시작된 이래 피해가 최악의 사태에 치닫자, 고려 조정에서는 더 이상 좌시할 수 없었다. 배극렴, 김용휘, 지용기, 오언, 정지, 박수경, 배언, 도흥, 하을지 9명의 원수를 출정시켜 공격하게 하였다. 하지만 결과는 처참했다. 이 전투에서 원수인 박수경과 배언이 전사하고 사졸 500여 명이 사망하는 대패를 당했기 때문이다. 왜구들은 기세를 이어 함양을 도륙하고 남원산성을 공략하였으나 실패하고 만다. 이후 그들은 운봉현을 불태우고 인월역에 주둔하였다."
사건,황산대첩,"1380년 9월, 이성계 등이 전라도 지리산 부근의 황산에서 왜구를 크게 격퇴시킨 전투이다. 이를 계기로 왜구의 세력이 크게 약화되었다.","이때 이성계는 양광전라경상도도순찰사가 되어 도체찰사 변안열 등과 함께 왜구를 정벌할 군대를 이끌고 이동하고 있었다. 그들은 길에 널려 있는 시신들을 보고 경악을 금치 못하였다. 이성계가 잠을 설치며 남원에 도착하자 구원자를 본 듯 여러 장수들이 기뻐하며 맞이하였다. 그리고 주위의 만류에도 불구하고 그는 곧장 공격을 위한 준비에 나섰다. 이성계는 그 길로 적진과 수십 리 떨어진 곳으로 가 정산봉에 올랐다. 그는 지형을 분석하여 작전을 짰는데, 큰 길 오른쪽에 있는 작은 샛길을 보고 “적은 반드시 이리로 나와서 우리의 후방을 칠 것이니, 나는 마땅히 이 길로 갈 것이다.”라고 말하였다. 나머지 장수들의 군대는 평탄한 길로 진군하게 한 뒤 자신은 적군의 기습이 예상되는 곳으로 갔던 것이다. 과연 그의 예상이 적중하여 이성계는 험지에서 왜구의 기병과 마주하게 되었다. 그러나 험한 곳에서 싸우게 되다 보니 승기를 잡기가 쉽지는 않았던 모양이다. 사료에 당시의 아슬아슬하고 급박했던 상황이 묘사되어 있다. 적의 장수가 창을 들고 몰래 이성계의 뒤쪽으로 접근하는데 미처 보지 못하는가 하면, 계속해서 이성계가 탄 말이 화살을 맞아 넘어져 다른 말로 바꾸어 타다가 결국 왼쪽 다리에 화살을 맞기도 하였다. 적군이 이성계를 두서너 겹으로 집중 포위하여 공격하는 것을 기병 두어 명과 뚫고 나가기도 하였다. 그럼에도 그는 누구보다 용맹하게 하늘의 해에 맹세하고 주위에 소리쳐 지휘하기를, “겁먹은 자는 물러나라. 나 또한 적에게 죽을 것이다.”라고 하며 군사들의 사기를 진작시켰다. 물론 태조 이성계의 구체적 행적과 관련해서는 사료에 다소의 과장이 있을 것으로 생각되지만 당시의 교전이 치열했음은 분명해 보인다. 이 전투에서 적군 가운데 눈에 띄는 한 사내가 있었으니, 아지발도라고 불리는 자였다. 용모가 아름답고 용맹스러움이 발군이었던 아지발도는 백마를 타고 창을 휘두를 때마다 모두 쓰러져 고려 병사들이 대적하지 못하였다고 한다. 이성계가 그 재주를 아깝게 여겨 그를 생포하고자 할 정도로 특출난 인재였던 것으로 보인다. 고수는 고수를 알아보는 것일까? 아지발도 또한 이성계가 진을 설치한 것을 보고는 자신의 무리에게 “결코 지난날의 장수들에게 비할 바가 아니다. 오늘의 전쟁은 너희들이 마땅히 각기 조심해야 할 것이다.”라고 경고하였다고 한다. 그러나 결국 측근 이두란의 만류로 생포계획을 포기하고 그를 죽이기로 하였다. 문제는 아지발도가 목과 얼굴을 감싼 갑옷과 투구를 착용하고 있어 화살을 쏴서 죽일 만한 틈이 없었다는 것이었다. 이때 이두란과 이성계는 영화에서 나올 법한 환상의 호흡을 보여준다. 이성계가 활로 아지발도의 투구 꼭지 부분을 맞춰서 투구 끈을 끊어 떨어뜨리자마자 이두란이 활을 쏘아 죽였던 것이다. 이에 전세는 급격히 고려군으로 기울게 된다. 마침내 고려군은 왜구의 정예군을 거의 다 죽이고 크게 승리를 거둔다. 그 많던 왜구 중 70여 명만이 겨우 살아남아 지리산으로 도망갔다. 이성계는 이들을 보며 “세상에 적을 섬멸하는 나라는 있지 않다.”라며 웃으며 추격하지 않는 여유를 보였다. 전쟁에서 승리하자 전리품으로 말을 1,600필을 얻고 무기는 헤아릴 수 없을 정도로 많이 획득하였다. 이때의 전투로 냇물이 온통 붉게 물들어 6~7일이나 색이 변하지 않아 사람들이 물을 마실 수 없을 정도였다고 하니 당시 전투가 얼마나 큰 격돌이었는지 짐작할 수 있다."
사건,황산대첩,"1380년 9월, 이성계 등이 전라도 지리산 부근의 황산에서 왜구를 크게 격퇴시킨 전투이다. 이를 계기로 왜구의 세력이 크게 약화되었다.","이성계의 군대가 개선하자 영접하러 나온 판삼사 최영은 눈물을 흘리며 “공이여, 공이여. 삼한의 중흥이 이 한 번의 싸움에 달려 있었으니, 공이 아니라면 나라에서 장차 누구를 믿겠소?”라고 말하였다. 우왕은 이성계와 변안열에게 각각 금 50냥을 하사하고, 여러 장수들에게 은 50냥씩을 하사하여 전공을 치하하였다. 또한 한산군 이색, 전 삼사좌사 김구용, 성균좨주 권근이 연달아 시를 지어 이성계의 공을 칭송하였다. 고려 조정에서 이 승리를 얼마나 반겼는지가 생생하게 느껴진다. 황산대첩은 고려말 고질적인 왜구의 침략을 저지한 결정타였다는 점에서 그 의의를 높이 평가할 수 있다. 특히 이때 물리친 왜구는 진포에서 살아남은 자들을 비롯하여 고려 내륙에 침투해 있던 왜구들이 집결된 대규모 세력이었기 때문에 향후 왜구의 움직임에 영향을 미치지 않을 수 없었을 것이다. 기존 연구에 따르면, 황산대첩을 기점으로 왜구의 침입 지역이 한반도 서부지역에서 동부지역으로 변화하였고, 규모나 빈도가 감소하는 경향이 뚜렷하게 보인다고 한다. 우리가 이후 벌어질 역사적 결과를 미리 알고 있기 때문에 할 수 있는 이야기이긴 하지만, 황산대첩은 이성계에게 전쟁영웅으로서의 확실한 존재감을 새겨주며 나아가 조선 건국에 초석이 되었던 중요한 전투였다고 할 수 있겠다."
사건,황산대첩,"1380년 9월, 이성계 등이 전라도 지리산 부근의 황산에서 왜구를 크게 격퇴시킨 전투이다. 이를 계기로 왜구의 세력이 크게 약화되었다.","황산대첩에서의 업적은 이성계의 대표 군공으로서 조선시대에 들어가서도 지속적으로 소환되며 기억된다. 조선 세종 때 지어진 「용비어천가」에도 수록되어 있다. 이후 1577년(선조 10)에는 전라관찰사 박계현의 건의로, 『고려사』와 「용비어천가」의 내용을 고증하여 황산대첩을 기리기 위한 비를 남원에 세웠다. 안타깝게도 본래의 비는 일제에 의하여 파괴되었으니 현재 우리가 볼 수 있는 비는 해방 이후 다시 만들어 세운 것이다. 남원 황산대첩비지는 사적 제104호로 지정되어 있다. 어느 날 정약용이 황산을 지나다가 황산대첩비를 읽고 이성계와 아지발도가 치열하게 싸웠다는 곳을 보았다고 한다. 그는 그곳이 골짜기가 크고 깊은 데다 숲이 우거져 험한 지형임을 보고는 다음과 같이 감탄했다. 왜인이 보전에 유리하고 산골짜기에서는 말을 달릴 수 없으니, 그 승리는 신묘한 무용에서 나온 것이지 사람의 힘이 아니다."
사건,북로남왜,,"몽골 왕조 원의 멸망 이후 중국에는 한족 왕조 명이 들어섰다. 명은 농본주의와 유교 이념에 기반한 사회를 구축하고자 하였다. 명은 육지와 해상으로 몰려오는 외국 세력들을 배척하였다. 만리장성은 북방 세력의 침공을 막았고, 해금은 남쪽 바다에서 나타나는 이방인의 접근을 차단하였다. 인구 증가, 교통 발달, 항해 및 지리 지식의 확장으로 전지구적 범위의 물자와 정보 이동이 활발해지고 있던 16세기의 상황은 닫혀있던 명의 남북 두 변방을 끊임없이 요동치게 하였다. 북방의 몽골인들은 만리장성을 침공하여 교역의 확대를 요구하였고, 왜구라 불렸던 해상/해적 세력은 해금령을 뚫고 막대한 물자를 유입시켰다. 명은 몽골 수장과의 화의와 교역 확대를 통하여 북변을 안정시켰지만, 남쪽 연안으로 진입하려는 왜구 혹은 일본에게는 완고하게 문을 걸어 잠갔다."
사건,북로남왜,,"1368년 원 순제는 홍건적의 난의 공격을 피하여 대도에서 만리장성 이북의 상도로 도피하였다. 중국에서 도피해 온 몽골인들은 응창과 카라코룸 등을 수도로 하는 북원을 건국하였다. 한편 홍건적의 난 수장 중 한 명인 주원장은 중국 전토를 통일하고 난징을 수도로 삼아 명을 건국하였다. 주원장은 한족 출신으로서 몽골인들의 정책을 폐지하고, 유교 이념에 근거한 농본주의 국가를 수립하고자 하였다. 특히 주원장은 ‘한 조각 판자도 바다로 나갈 수 없다’고 천명하여 민간의 해양 진출에 대하여 금령을 내렸다. 주원장의 정치 이념은 ‘조훈’이라는 이름으로 명말까지 이어졌는데, 1371년 선포된 해양 진출 금령인 해금령 역시 마찬가지였다. 송대와 원대에는 민간 상인들의 해외 교역이 활발하였다. 명이 건국되고 곧바로 해금이 실시되면서 민간의 해외 교역은 전면 금지되었다. 예외적으로 영락제는 환관 정화가 지휘하는 대규모 함대를 동남아시아, 인도, 서남아시아로 파견하였다. 정화는 대형 선단을 이끌고 7차례에 걸쳐 대원정을 떠났다. 정화는 기항한 곳마다 정치적 영향력을 발휘하고자 하였고, 말라카 등의 조공국을 확보하기도 하였다. 그러나 정화가 사망한 이후, 명 조정은 바다로 진출하는 모험을 시도하지 않았다."
사건,북로남왜,,"명에게는 북방의 몽골을 상대해야 하는 과제가 있었다. 명은 멸망에 이를 때까지 만리장성 이북의 몽골 세력을 압도하지 못하였다. 명은 몽골 세력에 대한 견제를 위하여 여러 조처를 취하였다. 영락제는 몽골 부락에 마시 형태의 조공무역을 허락하는 방식으로 북변의 안정화를 꾀하였다. 이를 통해 몽골인들은 명에 말과 같은 가축을 주로 팔았고, 명은 의복과 식량을 수출하였다. 그러나 명이 규정한 마시 무역은 점차 그 원형을 잃고 변형되어 갔다. 명은 몽골인들의 사신 수를 수십 명으로 제한하였으나, 실제로는 수 천 명대로 늘어났고 이에 따라 무역량도 증가하였다. 게다가 밀무역이 성행하면서 몽골과의 무역은 명의 통제를 벗어나게 되었다. 이에 따라 명은 무역을 제한하여 교역 질서를 되찾고자 하였다. 교역의 제한으로 경제적 손실을 입은 몽골인들은 명에 대하여 불만을 갖게 되었다. 1449년 오이라트의 지도자이자 북원의 대칸 에센이 명의 대동을 침공하였다. 당시 정통제 주기진은 이를 정벌하기 위하여 직접 군대를 이끌고 갔지만, 토목보에서 에센에게 생포되었다. 에센은 베이징에 사신을 보내어 교섭하려 하였지만 베이징에서는 이에 응하지 않았고 오히려 토벌군을 파견하였다. 에센의 당초 목적은 교역 활성화에 있었기 때문에 황제를 죽이지 않았고 계속 협상을 벌였으나, 황제를 인질로 붙잡아 둔 것이 교섭에 아무런 영향을 주지 못하였다. 에센은 끝내 불리한 조건으로 무역 재개를 약속받고, 1450년 정통제를 돌려보내었다. 정통제의 생포 이후, 명에서는 황제의 동생 주기옥을 새로운 황제로 옹위하고 연호를 경태로 바꾸었다. 귀국한 이전 황제는 상황으로 추대되어 남궁에 유폐되었다. 그러나 조정에서는 정통제와 경태제의 파벌로 나뉘었고, 후계자를 정통제의 아들로 할 것인가, 아니면 경태제의 아들로 할 것인가를 둘러싸고 논쟁이 발생하였다. 경태제는 원래 황태자이자 형의 아들 주견심을 폐하고 자신의 아들 주견제를 황태자로 책봉하려 했지만, 주견제는 도중에 병사하였다. 1457년 정통제 일파는 정변을 일으켜 경태제를 폐위시키고 정통제를 복위하는 정변을 일으켰다. 이를 ‘탈문지변’ 혹은 ‘탈문의 변’이라 한다. 탈문의 변으로 경태제는 폐위 후 한 달 만에 병사하였다. 복위한 정통제는 연호를 천순으로 고쳤다. 이에 따라 정통제는 천순제로도 지칭된다. 이후로도 천순제는 타타르의 침략에 계속 시달렸다."
사건,북로남왜,,"이후 몽골 초원 일대에 선 페스트가 유행하면서 몽골 세력은 크게 약화되었다. 15세기에서 16세기 사이, 몽골의 수장인 다얀 칸이 몽골을 통합하여 재차 명의 북변을 침공하였다. ‘다얀’은 ‘대원’을 음차한 것으로, 원의 영화를 회복하겠다는 의지를 담고 있다. 다얀 칸은 명과의 관계를 호의적으로 유지하고자 하였으나, 명은 몽골 사신을 살해하는 등 협상을 거절하였다. 다얀 칸은 명의 북변을 침공하여 약탈을 감행하였다. 다얀 칸의 손자 알탄 칸은 명의 북방을 자주 침략하여 가축과 식량 등을 약탈해 갔다. 1541년 알탄 칸은 몽골 일대에서 통사로 활약한 한인 석천작을 베이징으로 보내어 무역을 요청하였으나, 명에서는 이를 거절하였고 오히려 알탄 칸을 토벌하려 하였다. 이에 알탄 칸은 타이위안 일대를 공격하여 큰 피해를 입혔다. 이듬해인 1542년 석천작을 다시 보내어 조공을 조건으로 무역 허가를 요청하였으나, 명은 석천작을 체포하여 처형하였다. 그러자 알탄 칸은 다시 산시와 산시 등지를 침공하여 약탈하고 명군을 몰살하는 등 대승을 거두었다. 한편으로는 계속하여 사신을 보내어 화의를 요청했지만 명은 거절하였다. 그러자 알탄 칸은 오늘날 후허하오터 일대에 예케 바이싱이라는 성을 세웠다. 알탄 칸은 이곳을 몽골인과 한인들이 함께 거주하며 목축·농업·상업이 이뤄지는 대도시로 만들고자 하였다. 이후로도 알탄 칸은 명의 변경을 자주 침범하였다. 융경 연간(1567~1572)에 이르자, 알탄 칸 세력에 균열이 발생하였다. 1570년 알탄 칸의 손자 바한나기가 명에 투항하면서 몽골 내부에 위기감이 돌았다. 알탄 칸은 명과 협상을 벌여 순의왕에 책봉되었고, 예케 바이싱을 귀화성으로 개명하고 명과의 교역 거점으로 삼았다. 이를 중국사에서는 ‘엄답봉공’ 혹은 ‘융경화의’라 한다. 한편, 이에 앞서 1567년 푸젠성 장저우부 하이청현 월항에서 상선들이 외국으로 출항하여 교역하는 것을 허용하는 ‘융경개양’이 이뤄졌다. 실시된 시기나 호시를 통한 문제 해결이라는 취지로 볼 때, ‘융경화의’와 ‘융경개양’은 변경의 분란을 유사한 방식으로 해결하려는 명의 의도를 보여준다. 이후 알탄 칸은 1573년 청해 일대를 공격하였고 티베트 일부까지 점거하였다. 알탄 칸은 앙화사라는 절을 세우고 티베트의 쇠남갸초를 초빙하여 불법을 전수받았다. 알탄 칸은 쇠남갸초에게 최초로 ‘달라이 라마(Dalai Lama)’라는 존호를 주었고, 이후 쇠남갸초는 자신의 선임 두 사람을 달라이 라마로 추존하면서 자신은 제3대 달라이 라마로 칭하였다. 이후 몽골에는 티베트 불교가 전파되었다."
사건,북로남왜,,"비슷한 시기, 바다에는 왜구의 활동이 번성하였다. 당시 일본은 무로마치 시대 말기에 해당하였다. 특히 영주 간의 전투가 치열하던 막부 말기를 센고쿠시대라고 하기도 한다. 이 시기에는 중앙의 무로마치 막부, 혹은 아시카가 막부의 통제가 약화되었고 혼란은 가중되었다. 영주마다 독자적인 대중 외교를 전개하였는데 이는 명의 대일 관계를 더욱 악화시켰다. 명초 좌승상을 지낸 호유용이 일본과 결탁하여 반란을 일으킨다는 죄목으로 처형당하는 사건이 발생하기도 하는 등 일본에 대한 명의 인식은 부정적이었다. 그러나 일본은 가정 연간(1522~1566) 이전까지 명에 사신을 보내어 조공하였다. 막부의 3대 쇼군 아시카가 요시미츠의 요청에 따라 명은 요시미츠를 일본국왕으로 책봉하고 1404년 감합무역을 허가하였다. 감합이란 조공 사절단에게 발급해 준 증명서였다. 조공 사절단은 감합을 가지고 닝보를 경유하여 명에 입국하였으며, 하카타와 사카이 상인들이 동반하여 사무역을 실시하기도 하였다. 이때 파견한 선박을 ‘견명선’이라고 하였다. 처음에는 막부가 감합무역 선단 파견을 주관하였으나, 오닌의 난 이후 막부의 권력이 약화되면서, 호소카와씨와 오우치씨가 감합무역 선단 파견 임무를 담당하였다. 1523년 닝보에 도착한 두 가문의 사절단 간에 다툼이 발생하였다. 이해 일본에서는 오우치씨가 겐도 소세쓰를 정사로 하는 사절단, 그리고 호소카와씨가 란코 즈이사를 정사, 중국인 송소경을 부사로 하는 사절단을 동시에 파견했다. 싸움의 발단은 입항 절차 순서를 놓고 발생하였다. 먼저 도착한 것은 겐도 소세츠가 이끄는 오우치 사절단이었으나, 나중에 도착한 송소경이 뇌물을 사용하여 호소카와 사절단이 먼저 입항 절차를 받게 되었다. 이에 분노한 오우치측은 호소카와측 선박을 불태워 버렸다. 또한 겐도 소세츠는 란코 즈이사를 살해하고 달아난 송소경을 추격하였으며, 그 과정에서 명의 관료들을 살해하고 민가를 약탈하기까지 하였다. 이때의 소란을 ‘영파의 난’ 혹은 ‘영파쟁공’이라고 한다. 이 때문에 명은 1529년 닝보의 시박사를 폐지하였고 감합무역은 중단되었다. 1540년에 오우치씨가 감합무역을 재개시켰지만 1549년을 마지막으로 일본의 조공 사절단은 더 이상 베이징에 파견되지 않았다. 감합무역은 중단되었지만 연해 지방에서 일본인과 중국인의 무역은 지속되었다. 중국에서는 이들을 왜구라고 칭하였지만 왜구는 반드시 일본인으로만 구성된 것은 아니었다. 실제 일본인인 왜구는 진왜, 왜구의 모습을 가장한 중국인 등은 가왜라고 하였다. 왜구는 주로 가정 연간에 산둥, 저장, 푸젠, 광둥 등 중국 동남 연안에서 활발하게 활동하였다. 이들은 중국인과 결탁하여 필요한 인원이나 물자를 보급받기도 하였다. 연안의 유력자들은 왜구 세력과 결탁하거나 해상 세력을 직접 조직하여 밀무역을 수행함으로써 부를 축적하기도 하였다. 이들은 무기를 든 해적이었으면서도 동시에 밀무역에 종사하는 다국적 교역상이었다. 가정 연간 왜구가 중국 동남 연안에서 크게 활동한 것에 대하여 역사에서는 ‘가정대왜구’라고 한다. 또한 14세기에 발생한 전기왜구와 대비시켜 ‘후기왜구’라고도 한다."
